PVsyst simulations Batch mode,,,,,
Simulation parameters definition,,,,,
File created on 08/09/25 15:02,,,,,
,,,,,
Project,,,25_08_25_Bowen Solar Farm 2021.PRJ,,
Variants based on,,VC3,25_09_07_Match_measured_2_1,,
,,,,,
Please define the parameters to be varied for each run,,,,,
Do not modify the column titles!,,,,,
"Only the lines beginning by ""SIM_"" will be executed",,,,,
,,,,,
Ident,Save VCi,Create hourly,Thermal,Thermal,Simul
,,file,Uc fact,Uw fact,Comment
,Y/N,File name,[W/m2K],[W/m2K],
,,,,,
SIM_155,Y,Bomen solar farm 2021 17 0.7 Hay model.csv,17,0.7,24_10_08_Match_measured_inv_2_155
SIM_156,Y,Bomen solar farm 2021 17 0.8 Hay model.csv,17,0.8,24_10_08_Match_measured_inv_2_156
SIM_157,Y,Bomen solar farm 2021 17 0.9 Hay model.csv,17,0.9,24_10_08_Match_measured_inv_2_157
SIM_158,Y,Bomen solar farm 2021 17 1.0 Hay model.csv,17,1,24_10_08_Match_measured_inv_2_158
SIM_159,Y,Bomen solar farm 2021 17 1.1 Hay model.csv,17,1.1,24_10_08_Match_measured_inv_2_159
SIM_160,Y,Bomen solar farm 2021 17 1.2 Hay model.csv,17,1.2,24_10_08_Match_measured_inv_2_160
SIM_161,Y,Bomen solar farm 2021 17 1.3 Hay model.csv,17,1.3,24_10_08_Match_measured_inv_2_161
SIM_162,Y,Bomen solar farm 2021 17 1.4 Hay model.csv,17,1.4,24_10_08_Match_measured_inv_2_162
SIM_163,Y,Bomen solar farm 2021 17 1.5 Hay model.csv,17,1.5,24_10_08_Match_measured_inv_2_163
SIM_164,Y,Bomen solar farm 2021 17 1.6 Hay model.csv,17,1.6,24_10_08_Match_measured_inv_2_164
SIM_165,Y,Bomen solar farm 2021 17 1.7 Hay model.csv,17,1.7,24_10_08_Match_measured_inv_2_165
SIM_166,Y,Bomen solar farm 2021 17 1.8 Hay model.csv,17,1.8,24_10_08_Match_measured_inv_2_166
